bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,zipcode
4,1.0,1680,5043,1.5,1680,0,98118
3,2.5,2220,6380,1.5,1660,560,98115
3,2.25,1630,10962,1.0,1100,530,98030
5,2.5,1710,9720,2.0,1710,0,98005
2,1.0,850,6370,1.0,850,0,98126
4,2.75,2630,4501,2.0,2630,0,98028
4,1.75,2290,7380,1.0,1390,900,98178
4,2.0,1730,9139,2.0,1730,0,98125
3,1.75,2190,8500,1.0,2190,0,98112
3,1.75,1850,22767,1.5,1850,0,98074
3,2.25,1840,11403,2.0,1840,0,98045
4,2.25,1780,10748,2.0,1780,0,98072
4,2.25,2680,4673,2.0,2680,0,98011
3,1.5,1140,15890,1.0,840,300,98045
4,2.5,3330,7399,2.0,3330,0,98052
3,1.5,1140,8500,1.0,1140,0,98022
3,2.5,2170,8169,2.0,2170,0,98059
3,2.5,2350,3798,2.0,2350,0,98029
3,1.75,1560,7424,1.0,1560,0,98117
2,1.0,920,43560,1.0,920,0,98024
3,2.75,1560,77536,1.0,1400,160,98072
4,2.5,2290,13416,2.0,2290,0,98007
2,1.75,1160,6828,1.0,860,300,98115
4,2.0,2500,36900,1.0,1540,960,98038
3,2.5,1750,6725,1.0,1330,420,98038
4,1.0,1900,9000,1.0,1290,610,98166
3,2.5,2410,9916,2.0,2410,0,98052
2,1.5,1120,1312,2.0,1000,120,98106
3,1.75,1340,16480,1.0,1340,0,98042
2,1.0,760,6380,1.0,760,0,98115
3,1.5,1150,11475,1.0,1150,0,98045
4,1.5,3120,7680,1.0,1660,1460,98199
4,2.25,3490,6906,2.0,2280,1210,98199
3,2.5,1740,4960,2.0,1740,0,98029
3,2.0,1660,8641,2.0,1660,0,98042
4,2.5,2110,4178,2.0,2110,0,98042
4,2.5,2090,5195,2.0,2090,0,98031
4,2.75,2330,3920,2.0,2330,0,98029
3,1.0,880,18109,1.0,880,0,98042
3,1.0,1090,7315,1.0,1090,0,98056
2,2.0,1180,3003,2.0,1180,0,98038
4,2.75,3100,7501,2.0,3100,0,98052
2,1.0,1000,4950,1.0,800,200,98116
4,1.75,1820,7381,1.0,1150,670,98058
3,2.5,1940,8547,1.0,1460,480,98030
2,1.0,1200,4880,1.0,980,220,98106
4,2.5,2150,3721,2.0,2150,0,98002
3,2.5,2960,6856,2.0,2960,0,98074
3,1.0,1020,13504,1.0,1020,0,98056
3,2.5,1740,4497,2.0,1740,0,98042
5,4.0,4580,4443,3.0,4580,0,98075
4,2.0,1790,14690,1.0,1670,120,98198
3,2.5,1600,2231,2.0,1600,0,98001
3,2.5,1770,9450,1.0,1770,0,98001
3,2.0,1560,4080,2.0,1560,0,98115
4,2.5,2643,5750,2.0,2643,0,98030
5,3.5,3420,6403,2.0,2700,720,98065
3,1.75,2280,139392,1.0,2280,0,98092
5,2.0,2400,9537,1.0,1210,1190,98056
4,2.0,2750,5527,2.0,2130,620,98119
4,2.5,2470,3811,2.0,2470,0,98065
2,1.0,750,5120,1.0,750,0,98126
4,2.5,3210,8532,2.0,3210,0,98007
3,1.75,1430,16200,1.0,1430,0,98027
3,1.5,1430,8960,1.0,1430,0,98166
4,1.75,1650,7276,1.0,1010,640,98011
3,2.25,1670,5004,2.0,1670,0,98029
4,2.5,2010,16020,1.5,2010,0,98059
4,2.5,2610,7333,2.0,2610,0,98003
4,2.5,2030,39049,1.0,1530,500,98166
3,2.5,1560,4800,2.0,1560,0,98001
4,2.75,2830,10240,2.0,2830,0,98075
3,2.0,1470,16500,1.0,1470,0,98042
5,1.5,2160,5000,1.5,2160,0,98107
4,3.25,3266,5398,2.0,3266,0,98023
4,4.5,4060,10800,2.0,4060,0,98188
3,3.25,1370,1194,3.0,1370,0,98107
2,2.5,1340,1240,2.0,1150,190,98052
3,1.75,1690,8489,1.0,1690,0,98004
3,2.25,1840,6750,1.0,1270,570,98031
4,2.5,2590,8571,2.0,2590,0,98052
3,1.75,1800,5816,1.0,900,900,98199
3,1.0,1450,6776,1.0,1450,0,98178
4,2.25,2810,25990,2.0,1860,950,98001
5,2.75,2710,4685,2.0,2710,0,98038
6,3.75,4210,6105,2.0,3280,930,98059
2,1.0,1088,8453,1.0,1088,0,98001
4,3.0,2620,214750,2.0,2620,0,98058
4,2.5,2440,6733,2.0,2440,0,98074
2,1.0,1120,5329,1.0,750,370,98126
3,1.75,1340,7210,1.0,1340,0,98031
3,2.0,1860,3600,1.5,1110,750,98122
4,1.75,2080,8750,1.0,1330,750,98032
3,2.0,1250,1306,3.0,1250,0,98107
4,3.0,3580,35261,1.5,3580,0,98072
3,2.5,2430,54059,2.0,2430,0,98027
2,2.5,1240,1249,3.0,1240,0,98107
4,1.75,1860,9750,1.0,1460,400,98034
5,1.75,2330,3800,1.5,1360,970,98115
4,2.5,2550,4630,2.0,2550,0,98075
